TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"7481995","Sorcery Contested Realm","Alpha","Accursed Albatross (Foil)","","","Exceptional","Near Mint Foil","","","16.0000","16.0000","","0","",""
"7481996","Sorcery Contested Realm","Alpha","Accursed Albatross (Foil)","","","Exceptional","Lightly Played Foil","","","","","","0","",""
"7481997","Sorcery Contested Realm","Alpha","Accursed Albatross (Foil)","","","Exceptional","Moderately Played Foil","","","","","","0","",""
"7481998","Sorcery Contested Realm","Alpha","Accursed Albatross (Foil)","","","Exceptional","Heavily Played Foil","","","","","","0","",""
"7481999","Sorcery Contested Realm","Alpha","Accursed Albatross (Foil)","","","Exceptional","Damaged Foil","","","","","","0","",""
"7482052","Sorcery Contested Realm","Alpha","Adept Illusionist","","","Elite","Near Mint","1.16","","4.2100","2.9000","","0","",""
"7482053","Sorcery Contested Realm","Alpha","Adept Illusionist","","","Elite","Lightly Played","","","7.0900","1.1000","","0","",""
"7482054","Sorcery Contested Realm","Alpha","Adept Illusionist","","","Elite","Moderately Played","","","","","","0","",""
"7482055","Sorcery Contested Realm","Alpha","Adept Illusionist","","","Elite","Heavily Played","","","","","","0","",""
"7482056","Sorcery Contested Realm","Alpha","Adept Illusionist","","","Elite","Damaged","","","","","","0","",""
"7482062","Sorcery Contested Realm","Alpha","Adept Illusionist (Foil)","","","Elite","Near Mint Foil","43.99","","44.9900","44.0000","","0","",""
"7482063","Sorcery Contested Realm","Alpha","Adept Illusionist (Foil)","","","Elite","Lightly Played Foil","","","","","","0","",""
"7482064","Sorcery Contested Realm","Alpha","Adept Illusionist (Foil)","","","Elite","Moderately Played Foil","","","","","","0","",""
"7482065","Sorcery Contested Realm","Alpha","Adept Illusionist (Foil)","","","Elite","Heavily Played Foil","","","","","","0","",""
"7482066","Sorcery Contested Realm","Alpha","Adept Illusionist (Foil)","","","Elite","Damaged Foil","","","","","","0","",""
"7482097","Sorcery Contested Realm","Alpha","Albespine Pikemen","","","Exceptional","Near Mint","0.37","","1.6600","0.3500","","0","",""
"7482098","Sorcery Contested Realm","Alpha","Albespine Pikemen","","","Exceptional","Lightly Played","","","5.9900","1.0000","","0","",""
"7482099","Sorcery Contested Realm","Alpha","Albespine Pikemen","","","Exceptional","Moderately Played","","","","","","0","",""
"7482100","Sorcery Contested Realm","Alpha","Albespine Pikemen","","","Exceptional","Heavily Played","","","","","","0","",""
"7482101","Sorcery Contested Realm","Alpha","Albespine Pikemen","","","Exceptional","Damaged","","","","","","0","",""
"7482122","Sorcery Contested Realm","Alpha","Albespine Pikemen (Foil)","","","Exceptional","Near Mint Foil","20.96","","17.9700","17.9700","","0","",""
"7482123","Sorcery Contested Realm","Alpha","Albespine Pikemen (Foil)","","","Exceptional","Lightly Played Foil","","","","","","0","",""
"7482124","Sorcery Contested Realm","Alpha","Albespine Pikemen (Foil)","","","Exceptional","Moderately Played Foil","","","","","","0","",""
"7482125","Sorcery Contested Realm","Alpha","Albespine Pikemen (Foil)","","","Exceptional","Heavily Played Foil","","","","","","0","",""
"7482126","Sorcery Contested Realm","Alpha","Albespine Pikemen (Foil)","","","Exceptional","Damaged Foil","","","","","","0","",""
"7482147","Sorcery Contested Realm","Alpha","All-terrain Vestments","","","Elite","Near Mint","1.12","","2.3100","1.0000","","0","",""
"7482148","Sorcery Contested Realm","Alpha","All-terrain Vestments","","","Elite","Lightly Played","","","2.6600","1.3500","","0","",""
"7482149","Sorcery Contested Realm","Alpha","All-terrain Vestments","","","Elite","Moderately Played","","","","","","0","",""
"7482150","Sorcery Contested Realm","Alpha","All-terrain Vestments","","","Elite","Heavily Played","","","","","","0","",""
"7482151","Sorcery Contested Realm","Alpha","All-terrain Vestments","","","Elite","Damaged","","","","","","0","",""
"7482192","Sorcery Contested Realm","Alpha","All-terrain Vestments (Foil)","","","Elite","Near Mint Foil","41.09","","59.6300","58.6400","","0","",""
"7482193","Sorcery Contested Realm","Alpha","All-terrain Vestments (Foil)","","","Elite","Lightly Played Foil","","","","","","0","",""
"7482194","Sorcery Contested Realm","Alpha","All-terrain Vestments (Foil)","","","Elite","Moderately Played Foil","","","","","","0","",""
"7482195","Sorcery Contested Realm","Alpha","All-terrain Vestments (Foil)","","","Elite","Heavily Played Foil","","","","","","0","",""
"7482196","Sorcery Contested Realm","Alpha","All-terrain Vestments (Foil)","","","Elite","Damaged Foil","","","","","","0","",""
"7482607","Sorcery Contested Realm","Alpha","Alpha - Booster Box","","","None","Unopened","1017.35","","934.9900","934.9900","","0","",""
"7482608","Sorcery Contested Realm","Alpha","Alpha - Booster Box Case","","","None","Unopened","5709.60","","5569.0000","5555.0000","","0","",""
"7482609","Sorcery Contested Realm","Alpha","Alpha - Booster Pack","","","None","Unopened","38.23","","39.0000","34.0000","","0","",""
"7482247","Sorcery Contested Realm","Alpha","Alvalinne Dryads","","","Ordinary","Near Mint","0.13","","1.3500","0.0400","","0","",""
"7482248","Sorcery Contested Realm","Alpha","Alvalinne Dryads","","","Ordinary","Lightly Played","","","","","","0","",""
"7482249","Sorcery Contested Realm","Alpha","Alvalinne Dryads","","","Ordinary","Moderately Played","","","","","","0","",""
"7482250","Sorcery Contested Realm","Alpha","Alvalinne Dryads","","","Ordinary","Heavily Played","","","","","","0","",""
"7482251","Sorcery Contested Realm","Alpha","Alvalinne Dryads","","","Ordinary","Damaged","","","","","","0","",""
"7482252","Sorcery Contested Realm","Alpha","Alvalinne Dryads (Foil)","","","Ordinary","Near Mint Foil","15.98","","8.0000","8.0000","","0","",""
"7482253","Sorcery Contested Realm","Alpha","Alvalinne Dryads (Foil)","","","Ordinary","Lightly Played Foil","","","","","","0","",""
"7482254","Sorcery Contested Realm","Alpha","Alvalinne Dryads (Foil)","","","Ordinary","Moderately Played Foil","","","","","","0","",""
"7482255","Sorcery Contested Realm","Alpha","Alvalinne Dryads (Foil)","","","Ordinary","Heavily Played Foil","","","","","","0","",""
"7482256","Sorcery Contested Realm","Alpha","Alvalinne Dryads (Foil)","","","Ordinary","Damaged Foil","","","","","","0","",""
"7482366","Sorcery Contested Realm","Alpha","Amazon Warriors","","","Ordinary","Near Mint","0.20","","1.4200","0.1100","","0","",""
"7482367","Sorcery Contested Realm","Alpha","Amazon Warriors","","","Ordinary","Lightly Played","","","1.5400","0.2300","","0","",""
"7482368","Sorcery Contested Realm","Alpha","Amazon Warriors","","","Ordinary","Moderately Played","","","","","","0","",""
"7482369","Sorcery Contested Realm","Alpha","Amazon Warriors","","","Ordinary","Heavily Played","","","","","","0","",""
"7482370","Sorcery Contested Realm","Alpha","Amazon Warriors","","","Ordinary","Damaged","","","","","","0","",""
"7482376","Sorcery Contested Realm","Alpha","Amazon Warriors (Foil)","","","Ordinary","Near Mint Foil","10.00","","9.0200","9.0200","","0","",""
"7482377","Sorcery Contested Realm","Alpha","Amazon Warriors (Foil)","","","Ordinary","Lightly Played Foil","","","22.9900","18.0000","","0","",""
"7482378","Sorcery Contested Realm","Alpha","Amazon Warriors (Foil)","","","Ordinary","Moderately Played Foil","","","","","","0","",""
"7482379","Sorcery Contested Realm","Alpha","Amazon Warriors (Foil)","","","Ordinary","Heavily Played Foil","","","","","","0","",""
"7482380","Sorcery Contested Realm","Alpha","Amazon Warriors (Foil)","","","Ordinary","Damaged Foil","","","","","","0","",""
"7482401","Sorcery Contested Realm","Alpha","Amazon Warriors (Preconstructed Deck)","","","Ordinary","Near Mint","","","2.1900","0.8800","","0","",""
"7482402","Sorcery Contested Realm","Alpha","Amazon Warriors (Preconstructed Deck)","","","Ordinary","Lightly Played","","","","","","0","",""
"7482403","Sorcery Contested Realm","Alpha","Amazon Warriors (Preconstructed Deck)","","","Ordinary","Moderately Played","","","","","","0","",""
"7482404","Sorcery Contested Realm","Alpha","Amazon Warriors (Preconstructed Deck)","","","Ordinary","Heavily Played","","","","","","0","",""
"7482405","Sorcery Contested Realm","Alpha","Amazon Warriors (Preconstructed Deck)","","","Ordinary","Damaged","","","","","","0","",""
"7482506","Sorcery Contested Realm","Alpha","Amethyst Core","","","Unique","Near Mint","69.76","","63.2700","62.0000","","0","",""
"7482507","Sorcery Contested Realm","Alpha","Amethyst Core","","","Unique","Lightly Played","66.90","","","","","0","",""
"7482508","Sorcery Contested Realm","Alpha","Amethyst Core","","","Unique","Moderately Played","","","","","","0","",""
"7482509","Sorcery Contested Realm","Alpha","Amethyst Core","","","Unique","Heavily Played","","","","","","0","",""
"7482510","Sorcery Contested Realm","Alpha","Amethyst Core","","","Unique","Damaged","","","","","","0","",""
"7482516","Sorcery Contested Realm","Alpha","Amethyst Core (Foil)","","","Unique","Near Mint Foil","","","1395.0000","1395.0000","","0","",""
"7482517","Sorcery Contested Realm","Alpha","Amethyst Core (Foil)","","","Unique","Lightly Played Foil","","","","","","0","",""
"7482518","Sorcery Contested Realm","Alpha","Amethyst Core (Foil)","","","Unique","Moderately Played Foil","","","","","","0","",""
"7482519","Sorcery Contested Realm","Alpha","Amethyst Core (Foil)","","","Unique","Heavily Played Foil","","","","","","0","",""
"7482520","Sorcery Contested Realm","Alpha","Amethyst Core (Foil)","","","Unique","Damaged Foil","","","","","","0","",""
"7482592","Sorcery Contested Realm","Alpha","Ancient Dragon","","","Elite","Near Mint","2.03","","3.0100","1.7000","","0","",""
"7482593","Sorcery Contested Realm","Alpha","Ancient Dragon","","","Elite","Lightly Played","","","4.3300","3.0200","","0","",""
"7482594","Sorcery Contested Realm","Alpha","Ancient Dragon","","","Elite","Moderately Played","","","","","","0","",""
"7482595","Sorcery Contested Realm","Alpha","Ancient Dragon","","","Elite","Heavily Played","","","","","","0","",""
"7482596","Sorcery Contested Realm","Alpha","Ancient Dragon","","","Elite","Damaged","","","","","","0","",""
"7482597","Sorcery Contested Realm","Alpha","Ancient Dragon (Foil)","","","Elite","Near Mint Foil","","","25.9900","25.9900","","0","",""
"7482598","Sorcery Contested Realm","Alpha","Ancient Dragon (Foil)","","","Elite","Lightly Played Foil","","","","","","0","",""
"7482599","Sorcery Contested Realm","Alpha","Ancient Dragon (Foil)","","","Elite","Moderately Played Foil","","","","","","0","",""
"7482600","Sorcery Contested Realm","Alpha","Ancient Dragon (Foil)","","","Elite","Heavily Played Foil","","","","","","0","",""
"7482601","Sorcery Contested Realm","Alpha","Ancient Dragon (Foil)","","","Elite","Damaged Foil","","","","","","0","",""
"7482602","Sorcery Contested Realm","Alpha","Ancient Dragon (Preconstructed Deck)","","","Elite","Near Mint","0.50","","4.8000","3.4900","","0","",""
"7482603","Sorcery Contested Realm","Alpha","Ancient Dragon (Preconstructed Deck)","","","Elite","Lightly Played","","","","","","0","",""
"7482604","Sorcery Contested Realm","Alpha","Ancient Dragon (Preconstructed Deck)","","","Elite","Moderately Played","","","","","","0","",""
"7482605","Sorcery Contested Realm","Alpha","Ancient Dragon (Preconstructed Deck)","","","Elite","Heavily Played","","","","","","0","",""
"7482606","Sorcery Contested Realm","Alpha","Ancient Dragon (Preconstructed Deck)","","","Elite","Damaged","","","","","","0","",""
"7483870","Sorcery Contested Realm","Alpha","Angel's Egg","","","Elite","Near Mint","3.60","","4.4100","3.1000","","0","",""
"7483871","Sorcery Contested Realm","Alpha","Angel's Egg","","","Elite","Lightly Played","","","7.9900","3.0000","","0","",""
"7483872","Sorcery Contested Realm","Alpha","Angel's Egg","","","Elite","Moderately Played","","","","","","0","",""
"7483873","Sorcery Contested Realm","Alpha","Angel's Egg","","","Elite","Heavily Played","","","","","","0","",""
"7483874","Sorcery Contested Realm","Alpha","Angel's Egg","","","Elite","Damaged","","","","","","0","",""
"7483875","Sorcery Contested Realm","Alpha","Angel's Egg (Foil)","","","Elite","Near Mint Foil","50.00","","50.0000","50.0000","","0","",""
"7483876","Sorcery Contested Realm","Alpha","Angel's Egg (Foil)","","","Elite","Lightly Played Foil","","","","","","0","",""
"7483877","Sorcery Contested Realm","Alpha","Angel's Egg (Foil)","","","Elite","Moderately Played Foil","","","","","","0","",""
"7483878","Sorcery Contested Realm","Alpha","Angel's Egg (Foil)","","","Elite","Heavily Played Foil","","","","","","0","",""
"7483879","Sorcery Contested Realm","Alpha","Angel's Egg (Foil)","","","Elite","Damaged Foil","","","","","","0","",""
"7483880","Sorcery Contested Realm","Alpha","Anui Undine","","","Exceptional","Near Mint","0.34","","1.5600","0.2500","","0","",""
"7483881","Sorcery Contested Realm","Alpha","Anui Undine","","","Exceptional","Lightly Played","","","","","","0","",""
"7483882","Sorcery Contested Realm","Alpha","Anui Undine","","","Exceptional","Moderately Played","","","","","","0","",""
"7483883","Sorcery Contested Realm","Alpha","Anui Undine","","","Exceptional","Heavily Played","","","","","","0","",""
"7483884","Sorcery Contested Realm","Alpha","Anui Undine","","","Exceptional","Damaged","","","","","","0","",""
"7483885","Sorcery Contested Realm","Alpha","Anui Undine (Foil)","","","Exceptional","Near Mint Foil","","","19.9900","19.0000","","0","",""
"7483886","Sorcery Contested Realm","Alpha","Anui Undine (Foil)","","","Exceptional","Lightly Played Foil","","","","","","0","",""
"7483887","Sorcery Contested Realm","Alpha","Anui Undine (Foil)","","","Exceptional","Moderately Played Foil","","","","","","0","",""
"7483888","Sorcery Contested Realm","Alpha","Anui Undine (Foil)","","","Exceptional","Heavily Played Foil","","","","","","0","",""
"7483889","Sorcery Contested Realm","Alpha","Anui Undine (Foil)","","","Exceptional","Damaged Foil","","","","","","0","",""
"7483890","Sorcery Contested Realm","Alpha","Anui Undine (Preconstructed Deck)","","","Exceptional","Near Mint","","","2.3000","0.9900","","0","",""
"7483891","Sorcery Contested Realm","Alpha","Anui Undine (Preconstructed Deck)","","","Exceptional","Lightly Played","","","2.2600","0.9500","","0","",""
"7483892","Sorcery Contested Realm","Alpha","Anui Undine (Preconstructed Deck)","","","Exceptional","Moderately Played","","","","","","0","",""
"7483893","Sorcery Contested Realm","Alpha","Anui Undine (Preconstructed Deck)","","","Exceptional","Heavily Played","","","","","","0","",""
"7483894","Sorcery Contested Realm","Alpha","Anui Undine (Preconstructed Deck)","","","Exceptional","Damaged","","","","","","0","",""
"7483895","Sorcery Contested Realm","Alpha","Apprentice Wizard","","","Ordinary","Near Mint","0.30","","1.4000","0.0900","","0","",""
"7483896","Sorcery Contested Realm","Alpha","Apprentice Wizard","","","Ordinary","Lightly Played","","","5.9900","4.6800","","0","",""
"7483897","Sorcery Contested Realm","Alpha","Apprentice Wizard","","","Ordinary","Moderately Played","","","","","","0","",""
"7483898","Sorcery Contested Realm","Alpha","Apprentice Wizard","","","Ordinary","Heavily Played","","","","","","0","",""
"7483899","Sorcery Contested Realm","Alpha","Apprentice Wizard","","","Ordinary","Damaged","","","","","","0","",""
"7483910","Sorcery Contested Realm","Alpha","Apprentice Wizard (Foil)","","","Ordinary","Near Mint Foil","","","23.3100","22.0000","","0","",""
"7483911","Sorcery Contested Realm","Alpha","Apprentice Wizard (Foil)","","","Ordinary","Lightly Played Foil","","","29.9900","29.9900","","0","",""
"7483912","Sorcery Contested Realm","Alpha","Apprentice Wizard (Foil)","","","Ordinary","Moderately Played Foil","","","","","","0","",""
"7483913","Sorcery Contested Realm","Alpha","Apprentice Wizard (Foil)","","","Ordinary","Heavily Played Foil","","","","","","0","",""
"7483914","Sorcery Contested Realm","Alpha","Apprentice Wizard (Foil)","","","Ordinary","Damaged Foil","","","","","","0","",""
"7483925","Sorcery Contested Realm","Alpha","Apprentice Wizard (Preconstructed Deck)","","","Ordinary","Near Mint","","","5.0000","5.0000","","0","",""
"7483926","Sorcery Contested Realm","Alpha","Apprentice Wizard (Preconstructed Deck)","","","Ordinary","Lightly Played","","","","","","0","",""
"7483927","Sorcery Contested Realm","Alpha","Apprentice Wizard (Preconstructed Deck)","","","Ordinary","Moderately Played","","","","","","0","",""
"7483928","Sorcery Contested Realm","Alpha","Apprentice Wizard (Preconstructed Deck)","","","Ordinary","Heavily Played","","","","","","0","",""
"7483929","Sorcery Contested Realm","Alpha","Apprentice Wizard (Preconstructed Deck)","","","Ordinary","Damaged","","","","","","0","",""
"7483960","Sorcery Contested Realm","Alpha","Aquamarine Core","","","Unique","Near Mint","80.25","","85.0000","85.0000","","0","",""
"7483961","Sorcery Contested Realm","Alpha","Aquamarine Core","","","Unique","Lightly Played","","","","","","0","",""
"7483962","Sorcery Contested Realm","Alpha","Aquamarine Core","","","Unique","Moderately Played","","","","","","0","",""
"7483963","Sorcery Contested Realm","Alpha","Aquamarine Core","","","Unique","Heavily Played","","","","","","0","",""
"7483964","Sorcery Contested Realm","Alpha","Aquamarine Core","","","Unique","Damaged","","","","","","0","",""
"7483965","Sorcery Contested Realm","Alpha","Aquamarine Core (Foil)","","","Unique","Near Mint Foil","1180.00","","1114.9800","1109.9900","","0","",""
"7483966","Sorcery Contested Realm","Alpha","Aquamarine Core (Foil)","","","Unique","Lightly Played Foil","","","","","","0","",""
"7483967","Sorcery Contested Realm","Alpha","Aquamarine Core (Foil)","","","Unique","Moderately Played Foil","","","","","","0","",""
"7483968","Sorcery Contested Realm","Alpha","Aquamarine Core (Foil)","","","Unique","Heavily Played Foil","","","","","","0","",""
"7483969","Sorcery Contested Realm","Alpha","Aquamarine Core (Foil)","","","Unique","Damaged Foil","","","","","","0","",""
"7483970","Sorcery Contested Realm","Alpha","Aqueduct","","","Exceptional","Near Mint","2.51","","3.7100","2.4000","","0","",""
"7483971","Sorcery Contested Realm","Alpha","Aqueduct","","","Exceptional","Lightly Played","","","14.9800","14.9800","","0","",""
"7483972","Sorcery Contested Realm","Alpha","Aqueduct","","","Exceptional","Moderately Played","","","","","","0","",""
"7483973","Sorcery Contested Realm","Alpha","Aqueduct","","","Exceptional","Heavily Played","","","","","","0","",""
"7483974","Sorcery Contested Realm","Alpha","Aqueduct","","","Exceptional","Damaged","","","","","","0","",""
"7483975","Sorcery Contested Realm","Alpha","Aqueduct (Foil)","","","Exceptional","Near Mint Foil","88.45","","88.9400","88.9400","","0","",""
"7483976","Sorcery Contested Realm","Alpha","Aqueduct (Foil)","","","Exceptional","Lightly Played Foil","","","126.3500","126.3500","","0","",""
"7483977","Sorcery Contested Realm","Alpha","Aqueduct (Foil)","","","Exceptional","Moderately Played Foil","","","","","","0","",""
"7483978","Sorcery Contested Realm","Alpha","Aqueduct (Foil)","","","Exceptional","Heavily Played Foil","","","","","","0","",""
"7483979","Sorcery Contested Realm","Alpha","Aqueduct (Foil)","","","Exceptional","Damaged Foil","","","","","","0","",""
"7483980","Sorcery Contested Realm","Alpha","Aramos Mercenaries","","","Ordinary","Near Mint","0.15","","1.3900","0.0800","","0","",""
"7483981","Sorcery Contested Realm","Alpha","Aramos Mercenaries","","","Ordinary","Lightly Played","","","","","","0","",""
"7483982","Sorcery Contested Realm","Alpha","Aramos Mercenaries","","","Ordinary","Moderately Played","","","","","","0","",""
"7483983","Sorcery Contested Realm","Alpha","Aramos Mercenaries","","","Ordinary","Heavily Played","","","","","","0","",""
"7483984","Sorcery Contested Realm","Alpha","Aramos Mercenaries","","","Ordinary","Damaged","","","","","","0","",""
"7483985","Sorcery Contested Realm","Alpha","Aramos Mercenaries (Foil)","","","Ordinary","Near Mint Foil","15.58","","","","","0","",""
"7483986","Sorcery Contested Realm","Alpha","Aramos Mercenaries (Foil)","","","Ordinary","Lightly Played Foil","","","","","","0","",""
"7483987","Sorcery Contested Realm","Alpha","Aramos Mercenaries (Foil)","","","Ordinary","Moderately Played Foil","","","","","","0","",""
"7483988","Sorcery Contested Realm","Alpha","Aramos Mercenaries (Foil)","","","Ordinary","Heavily Played Foil","","","","","","0","",""
"7483989","Sorcery Contested Realm","Alpha","Aramos Mercenaries (Foil)","","","Ordinary","Damaged Foil","","","","","","0","",""
"7483990","Sorcery Contested Realm","Alpha","Arid Desert","","","Ordinary","Near Mint","0.19","","1.3800","0.0700","","0","",""
"7483991","Sorcery Contested Realm","Alpha","Arid Desert","","","Ordinary","Lightly Played","0.28","","1.5900","0.2800","","0","",""
"7483992","Sorcery Contested Realm","Alpha","Arid Desert","","","Ordinary","Moderately Played","","","","","","0","",""
"7483993","Sorcery Contested Realm","Alpha","Arid Desert","","","Ordinary","Heavily Played","","","","","","0","",""
"7483994","Sorcery Contested Realm","Alpha","Arid Desert","","","Ordinary","Damaged","","","","","","0","",""
"7484000","Sorcery Contested Realm","Alpha","Arid Desert (Foil)","","","Ordinary","Near Mint Foil","10.00","","10.8100","9.8200","","0","",""
"7484001","Sorcery Contested Realm","Alpha","Arid Desert (Foil)","","","Ordinary","Lightly Played Foil","","","","","","0","",""
"7484002","Sorcery Contested Realm","Alpha","Arid Desert (Foil)","","","Ordinary","Moderately Played Foil","","","","","","0","",""
"7484003","Sorcery Contested Realm","Alpha","Arid Desert (Foil)","","","Ordinary","Heavily Played Foil","","","","","","0","",""
"7484004","Sorcery Contested Realm","Alpha","Arid Desert (Foil)","","","Ordinary","Damaged Foil","","","","","","0","",""
"7483995","Sorcery Contested Realm","Alpha","Arid Desert (Preconstructed Deck)","","","Ordinary","Near Mint","","","4.3500","3.0400","","0","",""
"7483996","Sorcery Contested Realm","Alpha","Arid Desert (Preconstructed Deck)","","","Ordinary","Lightly Played","","","","","","0","",""
"7483997","Sorcery Contested Realm","Alpha","Arid Desert (Preconstructed Deck)","","","Ordinary","Moderately Played","","","","","","0","",""
"7483998","Sorcery Contested Realm","Alpha","Arid Desert (Preconstructed Deck)","","","Ordinary","Heavily Played","","","","","","0","",""
"7483999","Sorcery Contested Realm","Alpha","Arid Desert (Preconstructed Deck)","","","Ordinary","Damaged","","","","","","0","",""
"7484005","Sorcery Contested Realm","Alpha","Askelon Phoenix","","","Elite","Near Mint","1.46","","2.6000","1.2900","","0","",""
"7484006","Sorcery Contested Realm","Alpha","Askelon Phoenix","","","Elite","Lightly Played","","","7.3900","1.4000","","0","",""
"7484007","Sorcery Contested Realm","Alpha","Askelon Phoenix","","","Elite","Moderately Played","","","","","","0","",""
"7484008","Sorcery Contested Realm","Alpha","Askelon Phoenix","","","Elite","Heavily Played","","","","","","0","",""
"7484009","Sorcery Contested Realm","Alpha","Askelon Phoenix","","","Elite","Damaged","","","","","","0","",""
"7484010","Sorcery Contested Realm","Alpha","Askelon Phoenix (Foil)","","","Elite","Near Mint Foil","","","67.5000","67.5000","","0","",""
"7484011","Sorcery Contested Realm","Alpha","Askelon Phoenix (Foil)","","","Elite","Lightly Played Foil","","","59.9900","59.9900","","0","",""
"7484012","Sorcery Contested Realm","Alpha","Askelon Phoenix (Foil)","","","Elite","Moderately Played Foil","","","","","","0","",""
"7484013","Sorcery Contested Realm","Alpha","Askelon Phoenix (Foil)","","","Elite","Heavily Played Foil","","","","","","0","",""
"7484014","Sorcery Contested Realm","Alpha","Askelon Phoenix (Foil)","","","Elite","Damaged Foil","","","","","","0","",""
"7484015","Sorcery Contested Realm","Alpha","Assorted Animals","","","Elite","Near Mint","1.79","","2.9100","1.6000","","0","",""
"7484016","Sorcery Contested Realm","Alpha","Assorted Animals","","","Elite","Lightly Played","","","7.9900","3.0000","","0","",""
"7484017","Sorcery Contested Realm","Alpha","Assorted Animals","","","Elite","Moderately Played","","","","","","0","",""
"7484018","Sorcery Contested Realm","Alpha","Assorted Animals","","","Elite","Heavily Played","","","","","","0","",""
"7484019","Sorcery Contested Realm","Alpha","Assorted Animals","","","Elite","Damaged","","","","","","0","",""
"7484020","Sorcery Contested Realm","Alpha","Assorted Animals (Foil)","","","Elite","Near Mint Foil","","","66.3100","66.3100","","0","",""
"7484021","Sorcery Contested Realm","Alpha","Assorted Animals (Foil)","","","Elite","Lightly Played Foil","","","","","","0","",""
"7484022","Sorcery Contested Realm","Alpha","Assorted Animals (Foil)","","","Elite","Moderately Played Foil","","","","","","0","",""
"7484023","Sorcery Contested Realm","Alpha","Assorted Animals (Foil)","","","Elite","Heavily Played Foil","","","","","","0","",""
"7484024","Sorcery Contested Realm","Alpha","Assorted Animals (Foil)","","","Elite","Damaged Foil","","","","","","0","",""
"7484025","Sorcery Contested Realm","Alpha","Astral Alcazar","","","Elite","Near Mint","1.75","","2.8100","1.5000","","0","",""
"7484026","Sorcery Contested Realm","Alpha","Astral Alcazar","","","Elite","Lightly Played","","","7.6900","1.7000","","0","",""
"7484027","Sorcery Contested Realm","Alpha","Astral Alcazar","","","Elite","Moderately Played","","","","","","0","",""
"7484028","Sorcery Contested Realm","Alpha","Astral Alcazar","","","Elite","Heavily Played","","","","","","0","",""
"7484029","Sorcery Contested Realm","Alpha","Astral Alcazar","","","Elite","Damaged","","","","","","0","",""
"7484030","Sorcery Contested Realm","Alpha","Astral Alcazar (Foil)","","","Elite","Near Mint Foil","","","70.3000","61.3100","","0","",""
"7484031","Sorcery Contested Realm","Alpha","Astral Alcazar (Foil)","","","Elite","Lightly Played Foil","","","","","","0","",""
"7484032","Sorcery Contested Realm","Alpha","Astral Alcazar (Foil)","","","Elite","Moderately Played Foil","","","","","","0","",""
"7484033","Sorcery Contested Realm","Alpha","Astral Alcazar (Foil)","","","Elite","Heavily Played Foil","","","","","","0","",""
"7484034","Sorcery Contested Realm","Alpha","Astral Alcazar (Foil)","","","Elite","Damaged Foil","","","","","","0","",""
"7484035","Sorcery Contested Realm","Alpha","Atlantean Fate","","","Unique","Near Mint","21.99","","28.9000","27.5900","","0","",""
"7484036","Sorcery Contested Realm","Alpha","Atlantean Fate","","","Unique","Lightly Played","17.00","","","","","0","",""
"7484037","Sorcery Contested Realm","Alpha","Atlantean Fate","","","Unique","Moderately Played","","","","","","0","",""
"7484038","Sorcery Contested Realm","Alpha","Atlantean Fate","","","Unique","Heavily Played","","","","","","0","",""
"7484039","Sorcery Contested Realm","Alpha","Atlantean Fate","","","Unique","Damaged","","","","","","0","",""
